"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-personne-prise-charge.INS.listePrenomsNaissance","cds-personne-prise-charge.INS.listePrenomsNaissance","","","",1,1,"","","","string {[]} {[]}
","Liste des prénoms de naissance indiqués sur l'acte de naissance. Ce sont des éléments d’identité mentionnés à l’article R. 1111-8-6 du CSP.La liste des prénoms de naissance est un trait d'identité ""strict"" de la personne dans l'INS ( Référentiel Identité Nationale de Santé)  Ce champ peut comporter plusieurs prénoms, simples ou composés.(avec ou sans tiret d’union entre les prénoms).","Liste des prénoms de naissance indiqués sur l'acte de naissance. Ce sont des éléments d’identité mentionnés à l’article R. 1111-8-6 du CSP.La liste des prénoms de naissance est un trait d'identité ""strict"" de la personne dans l'INS ( Référentiel Identité Nationale de Santé)  Ce champ peut comporter plusieurs prénoms, simples ou composés.(avec ou sans tiret d’union entre les prénoms).","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.listePrenomsNaissance",1,1,"",""
"cds-personne-prise-charge.INS.sexe","cds-personne-prise-charge.INS.sexe","","","",1,1,"","","","Coding {[]} {[]}
","Le sexe est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP. L’identité INS ne peut comporter que des valeurs F (féminin) ou M (masculin).","Le sexe est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP. L’identité INS ne peut comporter que des valeurs F (féminin) ou M (masculin).","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.sexe",1,1,"",""
"cds-personne-prise-charge.INS.dateNaissance","cds-personne-prise-charge.INS.dateNaissance","","","",1,1,"","","","dateTime {[]} {[]}
","Date de naissance de la personne, modifiée selon les règles du RNIV dans le cas des dates exceptionnelles. C'est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.","Date de naissance de la personne, modifiée selon les règles du RNIV dans le cas des dates exceptionnelles. C'est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.dateNaissance",1,1,"",""
"cds-personne-prise-charge.INS.lieuNaissance","cds-personne-prise-charge.INS.lieuNaissance","","","",1,1,"","","","Coding {[]} {[]}
","Code officiel géographique (COG) de la commune (France) ou du pays. C'est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.","Code officiel géographique (COG) de la commune (France) ou du pays. C'est un élément d’identité mentionné à l’article R. 1111-8-6 du CSP.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.lieuNaissance",1,1,"",""
"cds-personne-prise-charge.INS.premierPrenomNaissance","cds-personne-prise-charge.INS.premierPrenomNaissance","","","",1,1,"","","","string {[]} {[]}
","La distinction du premier prénom dans la liste des prénoms de naissance est nécessaire à la communication entre logiciels n’ayant pas encore été mis en conformité avec les exigences du RNIV. Il peut être composé (avec ou sans tiret d’union entre les prénoms).","La distinction du premier prénom dans la liste des prénoms de naissance est nécessaire à la communication entre logiciels n’ayant pas encore été mis en conformité avec les exigences du RNIV. Il peut être composé (avec ou sans tiret d’union entre les prénoms).","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.premierPrenomNaissance",1,1,"",""
"cds-personne-prise-charge.INS.nomUtilise","cds-personne-prise-charge.INS.nomUtilise","","","",1,1,"","","","string {[]} {[]}
","Nom réellement porté par la personne physique dans la vie courante.Il peut s'agir du nom de naissance, du surnom, du pseudonyme ou du nom d'usage de la personne physique. C'est un trait complémentaire provenant du Référentiel National d'Identitovigilance (RNIV).Le nom utilisé est obligatoirement renseigné lorsqu’il est différent du nom de naissance.","Nom réellement porté par la personne physique dans la vie courante.Il peut s'agir du nom de naissance, du surnom, du pseudonyme ou du nom d'usage de la personne physique. C'est un trait complémentaire provenant du Référentiel National d'Identitovigilance (RNIV).Le nom utilisé est obligatoirement renseigné lorsqu’il est différent du nom de naissance.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.nomUtilise",1,1,"",""
"cds-personne-prise-charge.INS.prenomUtilise","cds-personne-prise-charge.INS.prenomUtilise","","","",1,1,"","","","string {[]} {[]}
","Prénom réellement porté par la personne physique dans la vie courante.Il peut s'agir du prénom usuel, du surnom ou du pseudonyme de la personne physique.C'est un trait complémentaire provenant du Référentiel National d'Identitovigilance (RNIV).Le prénom utilisé est obligatoirement renseigné lorsqu’il est différent du premier prénom de naissance.","Prénom réellement porté par la personne physique dans la vie courante.Il peut s'agir du prénom usuel, du surnom ou du pseudonyme de la personne physique.C'est un trait complémentaire provenant du Référentiel National d'Identitovigilance (RNIV).Le prénom utilisé est obligatoirement renseigné lorsqu’il est différent du premier prénom de naissance.","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.INS.prenomUtilise",1,1,"",""
"cds-personne-prise-charge.RendezVous","cds-personne-prise-charge.RendezVous","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/RendezVous {[]} {[]}
","Lien vers la classe RendezVous","Lien vers la classe RendezVous","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.RendezVous",0,*,"",""
"cds-personne-prise-charge.VieQuotidienne","cds-personne-prise-charge.VieQuotidienne","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/VieQuotidienne {[]} {[]}
","Lien vers la classe VieQuotidienne","Lien vers la classe VieQuotidienne","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.VieQuotidienne",0,1,"",""
"cds-personne-prise-charge.VieProfessionnelle","cds-personne-prise-charge.VieProfessionnelle","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/VieProfessionnelle {[]} {[]}
","Lien vers la classe VieProfessionnelle","Lien vers la classe VieProfessionnelle","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.VieProfessionnelle",0,1,"",""
"cds-personne-prise-charge.VieScolaire","cds-personne-prise-charge.VieScolaire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/VieScolaire {[]} {[]}
","Lien vers la classe VieScolaire","Lien vers la classe VieScolaire","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.VieScolaire",0,1,"",""
"cds-personne-prise-charge.NoteLiaison","cds-personne-prise-charge.NoteLiaison","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/NoteLiaison {[]} {[]}
","Lien vers la classe NoteLiaison","Lien vers la classe NoteLiaison","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.NoteLiaison",0,*,"",""
"cds-personne-prise-charge.Observation","cds-personne-prise-charge.Observation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Observation {[]} {[]}
","Lien vers la classe Observation","Lien vers la classe Observation","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.Observation",0,*,"",""
"cds-personne-prise-charge.Professionnel","cds-personne-prise-charge.Professionnel","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Professionnel {[]} {[]}
","Lien vers la classe Professionnel","Lien vers la classe Professionnel","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.Professionnel",0,*,"",""
"cds-personne-prise-charge.DossierPersonnePriseCharge","cds-personne-prise-charge.DossierPersonnePriseCharge","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/DossierPersonnePriseCharge {[]} {[]}
","Lien vers la classe DossierPersonnePriseCharge","Lien vers la classe DossierPersonnePriseCharge","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.DossierPersonnePriseCharge",1,1,"",""
"cds-personne-prise-charge.Agenda","cds-personne-prise-charge.Agenda","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Agenda {[]} {[]}
","Lien vers la classe Agenda","Lien vers la classe Agenda","","","","","","","","","",,,,,"",,,,"PersonnePriseCharge.Agenda",0,*,"",""
"cds-personne-prise-charge.CDSCercleSoins","cds-personne-prise-charge.CDSCercleSoins","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-cercle-soins {[]} {[]}
","Lien vers le concept Cercle Soins","Lien vers le concept Cercle Soins","","","","","","","","","",,,,,"",,,,"cds-personne-prise-charge.CDSCercleSoins",1,1,"",""
"cds-personne-prise-charge.CDSPersonnePhysique","cds-personne-prise-charge.CDSPersonnePhysique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-personne-physique {[]} {[]}
","Lien vers le concept Personne Physique","Lien vers le concept Personne Physique","","","","","","","","","",,,,,"",,,,"cds-personne-prise-charge.CDSPersonnePhysique",1,1,"",""
