"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-membre-cercle-soins","cds-membre-cercle-soins","","","",0,*,"","","","null {[]} {[]}
","Un membre du cercle de soins est une personne (Professionnel ou Personne Tierce) ou une Entité qui fait partie du Cercle de Soins d’un Usager.","Un membre du cercle de soins est une personne (Professionnel ou Personne Tierce) ou une Entité qui fait partie du Cercle de Soins d’un Usager.","Flux 1, flux 2, flux 3, flux 4","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cds-membre-cercle-soins.idMembreCercleSoin","cds-membre-cercle-soins.idMembreCercleSoin","","","",1,1,"Y","","","Identifier {[]} {[]}
","Identifiant du membre du cercle de soins","Identifiant du membre du cercle de soins","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.idMembreCercleSoin",1,1,"",""
"cds-membre-cercle-soins.dateEntreeCercleSoin","cds-membre-cercle-soins.dateEntreeCercleSoin","","","",1,*,"Y","","","date {[]} {[]}
","Date de début de participation au cercle de soin de la personne prise en charge.","Date de début de participation au cercle de soin de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.dateEntreeCercleSoin",1,*,"",""
"cds-membre-cercle-soins.dateSortieCercleSoin","cds-membre-cercle-soins.dateSortieCercleSoin","","","",0,*,"Y","","","date {[]} {[]}
","Date de fin de participation au cercle de soin de la personne prise en charge.","Date de fin de participation au cercle de soin de la personne prise en charge.","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.dateSortieCercleSoin",0,*,"",""
"cds-membre-cercle-soins.adresse","cds-membre-cercle-soins.adresse","","","",0,1,"Y","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
"," 	Adresse(s) de télécommunication (numéro de téléphone, adresse email, URL, etc.) :  
- rattachée(s) à la situation d'exercice.
- du contact"," 	Adresse(s) de télécommunication (numéro de téléphone, adresse email, URL, etc.) :  
- rattachée(s) à la situation d'exercice.
- du contact","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.adresse",0,1,"",""
"cds-membre-cercle-soins.CDSCercleSoins","cds-membre-cercle-soins.CDSCercleSoins","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-cercle-soins {[]} {[]}
","Lien vers le concept Cercle Soins","Lien vers le concept Cercle Soins","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.CDSCercleSoins",1,1,"",""
"cds-membre-cercle-soins.CDSContact","cds-membre-cercle-soins.CDSContact","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-contact {[]} {[]}
","Lien vers le concept Contact","Lien vers le concept Contact","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.CDSContact",0,1,"",""
"cds-membre-cercle-soins.CDSSituationExercice","cds-membre-cercle-soins.CDSSituationExercice","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-situation-exercice {[]} {[]}
","Lien vers le concept Cercle Soins","Lien vers le concept Cercle Soins","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.CDSSituationExercice",0,1,"",""
"cds-membre-cercle-soins.CDSOrganisationInterne","cds-membre-cercle-soins.CDSOrganisationInterne","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-organisation-interne {[]} {[]}
","Lien vers le concept Organisation Interne","Lien vers le concept Organisation Interne","","","","","","","","","",,,,,"",,,,"cds-membre-cercle-soins.CDSOrganisationInterne",0,1,"",""
